OrderID,Date,Region,Category,Product,CustomerSegment,Channel,UnitsSold,UnitPrice,DiscountPct,MarketingSpend,Sales
100000,2024-01-01,West,Beauty,Moisturizer,Returning,Online,2,25.59,0.0,49.61,51.18
100001,2024-01-01,East,Home & Kitchen,Coffee Maker,New,Online,3,55.32,0.0,6.97,165.96
100002,2024-01-01,North,Beauty,Lipstick Set,Returning,In-Store,3,27.7,0.0,43.0,83.1
100003,2024-01-01,East,Electronics,Bluetooth Speaker,New,Marketplace,2,59.9,0.0,0.8,119.8
100004,2024-01-01,North,Beauty,Lipstick Set,Returning,In-Store,3,27.18,0.0,15.59,81.54
100005,2024-01-01,South,Home & Kitchen,Vacuum Cleaner,New,Marketplace,2,110.1,0.0,19.76,220.2
100006,2024-01-02,North,Electronics,Power Bank,New,Online,3,28.37,0.1,30.3,76.6
100007,2024-01-02,West,Home & Kitchen,Air Fryer,Loyalty,Marketplace,4,87.83,0.0,3.18,351.32
100008,2024-01-02,South,Beauty,Face Serum,Returning,In-Store,3,24.24,0.2,42.45,58.18
100009,2024-01-02,East,Apparel,Jacket,New,Online,2,94.81,0.0,5.39,189.62
100010,2024-01-02,North,Apparel,T-Shirt,New,Online,5,21.41,0.1,11.44,96.34
100011,2024-01-02,North,Apparel,Jacket,New,Marketplace,5,91.6,0.0,5.27,458.0
100012,2024-01-02,South,Beauty,Moisturizer,Returning,Marketplace,2,19.48,0.15,13.61,33.12
100013,2024-01-02,East,Electronics,Power Bank,New,Online,3,23.92,0.0,11.11,71.76
100014,2024-01-02,North,Beauty,Moisturizer,Loyalty,Online,1,23.4,0.0,12.34,23.4
100015,2024-01-02,East,Apparel,T-Shirt,New,Marketplace,3,19.85,0.0,25.13,59.55
100016,2024-01-02,North,Electronics,Power Bank,Loyalty,Online,2,24.06,0.0,29.63,48.12
100017,2024-01-02,North,Beauty,Lipstick Set,New,Marketplace,5,29.54,0.0,31.68,147.7
100018,2024-01-02,South,Beauty,Moisturizer,Loyalty,Online,5,19.39,0.0,35.56,96.95
100019,2024-01-02,West,Beauty,Moisturizer,New,Marketplace,2,26.38,0.1,33.78,47.48
100020,2024-01-03,West,Home & Kitchen,Vacuum Cleaner,Returning,Marketplace,1,144.66,0.1,42.82,130.19
100021,2024-01-03,South,Electronics,Power Bank,Loyalty,Marketplace,4,21.3,0.15,30.32,72.42
100022,2024-01-03,North,Home & Kitchen,Air Fryer,Returning,Online,2,75.33,0.2,8.8,120.53
100023,2024-01-03,North,Home & Kitchen,Air Fryer,New,Online,3,84.47,0.0,28.42,253.41
100024,2024-01-03,North,Apparel,Running Shoes,New,Online,5,80.51,0.0,17.5,402.55
100025,2024-01-03,East,Apparel,Backpack,Loyalty,Online,3,49.93,0.0,38.43,149.79
100026,2024-01-03,North,Beauty,Moisturizer,Returning,Online,3,24.93,0.0,49.02,74.79
100027,2024-01-03,North,Electronics,Wireless Earbuds,New,Online,3,44.69,0.0,27.84,134.07
100028,2024-01-04,North,Apparel,Running Shoes,Loyalty,Marketplace,5,72.44,0.0,19.84,362.2
100029,2024-01-04,North,Apparel,Jacket,New,In-Store,3,101.45,0.0,27.13,304.35
100030,2024-01-04,North,Home & Kitchen,Coffee Maker,New,Online,3,60.69,0.1,10.79,163.86
100031,2024-01-04,East,Beauty,Shampoo,New,Online,3,11.35,0.0,36.3,34.05
100032,2024-01-04,West,Beauty,Shampoo,New,In-Store,3,13.25,0.0,48.13,39.75
100033,2024-01-04,West,Electronics,Power Bank,Returning,Online,1,28.59,0.0,11.99,28.59
100034,2024-01-04,North,Electronics,Power Bank,Loyalty,In-Store,5,28.02,0.0,20.98,140.1
